Game ,0292000, reward ,-0.92371, corr ,9.69, games_won ,[96.  0.  1.  1.], total ,-99.2785,  Time ,0:17:55.008299,
Game ,0294000, reward ,-0.9595, corr ,8.714, games_won ,[132.   0.   0.   1.], total ,-103.241,  Time ,0:18:07.236213,
Game ,0296000, reward ,-0.97056, corr ,8.919, games_won ,[119.   0.   0.   0.], total ,-102.694,  Time ,0:18:19.563295,
Game ,0298000, reward ,-0.97795, corr ,8.768, games_won ,[156.   0.   0.   1.], total ,-104.667,  Time ,0:18:32.304611,
Game ,0300000, reward ,-0.93468, corr ,9.007, games_won ,[133.   0.   1.   6.], total ,-101.4265,  Time ,0:18:45.040860,
Game ,0302000, reward ,-0.95305, corr ,9.44, games_won ,[119.   0.   0.   2.], total ,-100.3305,  Time ,0:18:58.210068,
Game ,0304000, reward ,-0.93561, corr ,9.716, games_won ,[96.  0.  1.  0.], total ,-100.24,  Time ,0:19:11.717113,
Game ,0306000, reward ,-0.90894, corr ,10.11, games_won ,[98.  0.  3.  1.], total ,-99.225,  Time ,0:19:25.906431,
Game ,0308000, reward ,-0.87401, corr ,10.14, games_won ,[94.  0.  6.  2.], total ,-98.2285,  Time ,0:19:40.067189,
Game ,0310000, reward ,-0.89967, corr ,9.392, games_won ,[163.   0.   1.   3.], total ,-100.7675,  Time ,0:19:53.322244,
Game ,0312000, reward ,-0.94938, corr ,8.279, games_won ,[186.   0.   2.   1.], total ,-105.2495,  Time ,0:20:05.169844,
Game ,0314000, reward ,-0.98987, corr ,6.806, games_won ,[208.   0.   0.   0.], total ,-110.635,  Time ,0:20:15.149149,
Game ,0316000, reward ,-0.97977, corr ,7.878, games_won ,[166.   0.   2.   1.], total ,-105.3825,  Time ,0:20:26.420674,
Game ,0318000, reward ,-0.94846, corr ,8.357, games_won ,[155.   0.   3.   1.], total ,-104.0975,  Time ,0:20:38.210411,
Game ,0320000, reward ,-0.89692, corr ,9.579, games_won ,[114.   0.   1.   3.], total ,-99.2435,  Time ,0:20:51.728033,
Game ,0322000, reward ,-0.84552, corr ,10.41, games_won ,[97.  0.  4.  3.], total ,-95.7805,  Time ,0:21:06.433304,
Game ,0324000, reward ,-0.83353, corr ,10.18, games_won ,[111.   0.   8.   5.], total ,-96.5205,  Time ,0:21:21.118479,
Game ,0326000, reward ,-0.73409, corr ,11.24, games_won ,[75.  0.  6.  2.], total ,-90.0285,  Time ,0:21:36.953442,
Game ,0328000, reward ,-0.67971, corr ,11.6, games_won ,[65.  0.  4.  4.], total ,-86.9085,  Time ,0:21:52.914098,
Game ,0330000, reward ,-0.67148, corr ,11.59, games_won ,[78.  0.  1.  6.], total ,-86.839,  Time ,0:22:09.079873,
Game ,0332000, reward ,-0.50977, corr ,12.46, games_won ,[30.  0.  4.  7.], total ,-78.758,  Time ,0:22:26.291684,
Game ,0334000, reward ,-0.43603, corr ,12.47, games_won ,[43.  0.  6.  4.], total ,-75.7115,  Time ,0:22:43.677738,
Game ,0336000, reward ,-0.43983, corr ,12.34, games_won ,[38.  0.  5.  9.], total ,-75.997,  Time ,0:23:00.517264,
Game ,0338000, reward ,-0.34109, corr ,12.84, games_won ,[28.  1.  4.  6.], total ,-71.102,  Time ,0:23:18.323329,
Game ,0340000, reward ,-0.34928, corr ,12.84, games_won ,[45.  0.  8.  6.], total ,-72.1635,  Time ,0:23:35.916341,
Game ,0342000, reward ,0.054656, corr ,13.99, games_won ,[16.  3. 13.  5.], total ,-54.776,  Time ,0:23:55.204906,
Game ,0344000, reward ,0.049896, corr ,13.8, games_won ,[21.  4.  7. 13.], total ,-55.4265,  Time ,0:24:14.146450,
Game ,0346000, reward ,0.0369, corr ,13.7, games_won ,[36.  3.  3.  9.], total ,-56.01,  Time ,0:24:33.422440,
Game ,0348000, reward ,0.051799, corr ,13.67, games_won ,[25.  2. 11.  6.], total ,-55.7285,  Time ,0:24:52.375023,
Game ,0350000, reward ,0.11585, corr ,14.02, games_won ,[11.  5. 10.  8.], total ,-52.1075,  Time ,0:25:11.815855,
Game ,0352000, reward ,0.22363, corr ,14.26, games_won ,[20.  5. 22.  8.], total ,-47.7225,  Time ,0:25:31.724498,
Game ,0354000, reward ,0.28085, corr ,14.53, games_won ,[20. 10.  7. 16.], total ,-45.6285,  Time ,0:25:51.675524,
Game ,0356000, reward ,0.29104, corr ,14.63, games_won ,[16. 10. 11. 19.], total ,-45.0145,  Time ,0:26:11.582477,
Game ,0358000, reward ,0.41759, corr ,14.91, games_won ,[23. 12. 20. 23.], total ,-40.493,  Time ,0:26:32.322367,
Game ,0360000, reward ,0.32013, corr ,14.85, games_won ,[22. 17. 14. 17.], total ,-43.677,  Time ,0:26:52.656579,
Game ,0362000, reward ,0.39747, corr ,15.02, games_won ,[20. 15. 13. 29.], total ,-40.612,  Time ,0:27:13.148047,
Game ,0364000, reward ,0.24457, corr ,14.23, games_won ,[24.  7. 14. 11.], total ,-46.1085,  Time ,0:27:32.989288,
Game ,0366000, reward ,0.39365, corr ,14.96, games_won ,[22. 22. 22.  9.], total ,-39.501,  Time ,0:27:54.002499,
Game ,0368000, reward ,0.43253, corr ,15.29, games_won ,[17. 17. 20. 24.], total ,-39.2805,  Time ,0:28:15.307133,
Game ,0370000, reward ,0.50222, corr ,15.45, games_won ,[27. 30. 21. 19.], total ,-35.5825,  Time ,0:28:36.580859,
Game ,0372000, reward ,0.51687, corr ,15.47, games_won ,[28. 28. 15. 31.], total ,-35.5575,  Time ,0:28:57.841327,
Game ,0374000, reward ,0.40679, corr ,15.13, games_won ,[21. 18. 19. 19.], total ,-40.7935,  Time ,0:29:18.813728,
Game ,0376000, reward ,0.46174, corr ,15.33, games_won ,[25. 18. 28. 21.], total ,-37.933,  Time ,0:29:40.139399,
Game ,0378000, reward ,0.49865, corr ,15.43, games_won ,[25. 23. 17. 28.], total ,-36.108,  Time ,0:30:01.492911,
Game ,0380000, reward ,0.46192, corr ,15.34, games_won ,[22. 17. 24. 18.], total ,-38.899,  Time ,0:30:22.705723,
Game ,0382000, reward ,0.44151, corr ,15.12, games_won ,[20. 16. 24. 25.], total ,-39.369,  Time ,0:30:43.611125,
Game ,0384000, reward ,0.44532, corr ,15.19, games_won ,[21. 13. 22. 28.], total ,-38.7145,  Time ,0:31:04.288560,
Game ,0386000, reward ,0.50303, corr ,15.54, games_won ,[29. 20. 28. 29.], total ,-36.395,  Time ,0:31:25.802928,
Game ,0388000, reward ,0.51947, corr ,15.52, games_won ,[25. 21. 22. 29.], total ,-35.865,  Time ,0:31:47.989844,
Game ,0390000, reward ,0.43772, corr ,15.28, games_won ,[19. 20. 22. 20.], total ,-38.1405,  Time ,0:32:08.952178,
Game ,0392000, reward ,0.39527, corr ,14.92, games_won ,[23. 19. 12. 10.], total ,-40.7595,  Time ,0:32:29.357028,
Game ,0394000, reward ,0.42797, corr ,15.08, games_won ,[29.  8. 25. 24.], total ,-41.3665,  Time ,0:32:50.016390,
Game ,0396000, reward ,0.43953, corr ,15.04, games_won ,[24. 17. 19. 25.], total ,-40.456,  Time ,0:33:10.814652,
Game ,0398000, reward ,0.51564, corr ,15.49, games_won ,[31. 18. 36. 13.], total ,-36.623,  Time ,0:33:32.110709,
Game ,0400000, reward ,0.51762, corr ,15.63, games_won ,[24. 19. 22. 34.], total ,-35.1975,  Time ,0:33:53.497254,
Game ,0402000, reward ,0.54542, corr ,15.66, games_won ,[25. 24. 22. 32.], total ,-34.8855,  Time ,0:34:15.495234,
Game ,0404000, reward ,0.59065, corr ,15.91, games_won ,[36. 22. 41. 28.], total ,-34.1855,  Time ,0:34:37.495252,
Game ,0406000, reward ,0.58591, corr ,15.87, games_won ,[35. 29. 43. 22.], total ,-33.0285,  Time ,0:34:59.572089,
Game ,0408000, reward ,0.55903, corr ,15.71, games_won ,[32. 26. 27. 31.], total ,-33.4015,  Time ,0:35:21.201945,
Game ,0410000, reward ,0.48583, corr ,15.37, games_won ,[27. 21. 17. 27.], total ,-37.2355,  Time ,0:35:42.268497,
Game ,0412000, reward ,0.53624, corr ,15.57, games_won ,[24. 35. 18. 28.], total ,-34.9095,  Time ,0:36:03.656934,
Game ,0414000, reward ,0.59135, corr ,15.93, games_won ,[32. 27. 25. 35.], total ,-32.8495,  Time ,0:36:25.638472,
Game ,0416000, reward ,0.60622, corr ,15.74, games_won ,[44. 22. 29. 26.], total ,-33.571,  Time ,0:36:47.358264,
Game ,0418000, reward ,0.49029, corr ,15.35, games_won ,[33. 20. 19. 25.], total ,-36.6965,  Time ,0:37:08.730481,
Game ,0420000, reward ,0.59143, corr ,15.91, games_won ,[27. 39. 27. 27.], total ,-32.0785,  Time ,0:37:30.851595,
