Game ,12660300, mean_rew of 4513 finished g. ,-2.0115, of random ,-7.2274, corr_moves[max:17] ,16.03, mean_rew ,-11.6,00:53:48.41,playing t=7.46, lr=[0.01], batch=127731
Game ,12789000, mean_rew of 4466 finished g. ,-1.9888, of random ,-7.2359, corr_moves[max:17] ,15.97, mean_rew ,-12.5,00:54:20.03,playing t=7.56, lr=[0.01], batch=128141
Game ,12918100, mean_rew of 4434 finished g. ,-2.1222, of random ,-7.2463, corr_moves[max:17] ,15.88, mean_rew ,-13.2,00:54:51.46,playing t=7.58, lr=[0.01], batch=128626
Game ,13047600, mean_rew of 4578 finished g. ,-2.2951, of random ,-7.0868, corr_moves[max:17] ,16.18, mean_rew ,-10.5,00:55:22.85,playing t=7.59, lr=[0.01], batch=129052
Game ,13177500, mean_rew of 4573 finished g. ,-2.1301, of random ,-7.2136, corr_moves[max:17] ,16.19, mean_rew ,-10.5,00:55:54.41,playing t=7.58, lr=[0.01], batch=129228
Game ,13307800, mean_rew of 4550 finished g. ,-2.1062, of random ,-7.2289, corr_moves[max:17] ,16.08, mean_rew ,-10.9,00:56:25.87,playing t=7.62, lr=[0.01], batch=129601
Game ,13438500, mean_rew of 4570 finished g. ,-2.0786, of random ,-7.2229, corr_moves[max:17] ,16.16, mean_rew ,-10.5,00:56:57.85,playing t=7.66, lr=[0.01], batch=130148
Game ,13569600, mean_rew of 4517 finished g. ,-2.1585, of random ,-7.1802, corr_moves[max:17] ,16.05, mean_rew ,-11.6,00:57:29.75,playing t=7.62, lr=[0.01], batch=130498
Game ,13701100, mean_rew of 4534 finished g. ,-2.0013, of random ,-7.2143, corr_moves[max:17] ,16.1, mean_rew ,-11.1,00:58:01.42,playing t=7.68, lr=[0.01], batch=130801
Game ,13833000, mean_rew of 4619 finished g. ,-2.1052, of random ,-7.2374, corr_moves[max:17] ,16.3, mean_rew ,-9.56,00:58:33.51,playing t=7.73, lr=[0.01], batch=131269
Game ,13965300, mean_rew of 4580 finished g. ,-1.9729, of random ,-7.1911, corr_moves[max:17] ,16.16, mean_rew ,-10.2,00:59:05.82,playing t=7.72, lr=[0.01], batch=131621
Game ,14098000, mean_rew of 4576 finished g. ,-1.9126, of random ,-7.2069, corr_moves[max:17] ,16.14, mean_rew ,-10.2,00:59:38.05,playing t=7.74, lr=[0.01], batch=132175
Game ,14231100, mean_rew of 4155 finished g. ,-1.9615, of random ,-7.2343, corr_moves[max:17] ,15.6, mean_rew ,-18.5,01:00:09.52,playing t=7.76, lr=[0.01], batch=132479
Game ,14364600, mean_rew of 4468 finished g. ,-2.2932, of random ,-7.0827, corr_moves[max:17] ,16.01, mean_rew ,-12.7,01:00:41.77,playing t=7.77, lr=[0.01], batch=132849
Game ,14498500, mean_rew of 4576 finished g. ,-2.0765, of random ,-7.1787, corr_moves[max:17] ,16.19, mean_rew ,-10.4,01:01:14.12,playing t=7.84, lr=[0.01], batch=133496
Game ,14632800, mean_rew of 4589 finished g. ,-2.1392, of random ,-7.151, corr_moves[max:17] ,16.2, mean_rew ,-10.2,01:01:46.83,playing t=7.96, lr=[0.01], batch=133724
Game ,14767500, mean_rew of 4566 finished g. ,-2.1603, of random ,-7.1775, corr_moves[max:17] ,16.21, mean_rew ,-10.7,01:02:19.32,playing t=7.82, lr=[0.01], batch=134183
Game ,14902600, mean_rew of 4486 finished g. ,-2.2354, of random ,-7.1343, corr_moves[max:17] ,16.07, mean_rew ,-12.3,01:02:51.94,playing t=7.87, lr=[0.01], batch=134447
Game ,15038100, mean_rew of 4559 finished g. ,-2.1382, of random ,-7.1982, corr_moves[max:17] ,16.17, mean_rew ,-10.8,01:03:24.66,playing t=7.92, lr=[0.01], batch=134832
Game ,15174000, mean_rew of 4544 finished g. ,-2.0559, of random ,-7.2139, corr_moves[max:17] ,16.13, mean_rew ,-11,01:03:57.46,playing t=7.93, lr=[0.01], batch=135286
Game ,15310300, mean_rew of 4563 finished g. ,-1.9886, of random ,-7.2182, corr_moves[max:17] ,16.18, mean_rew ,-10.6,01:04:30.29,playing t=7.97, lr=[0.01], batch=135659
Game ,15447000, mean_rew of 4524 finished g. ,-2.1006, of random ,-7.1853, corr_moves[max:17] ,16.12, mean_rew ,-11.4,01:05:03.18,playing t=8.02, lr=[0.01], batch=136043
Game ,15584100, mean_rew of 4511 finished g. ,-1.7916, of random ,-7.3027, corr_moves[max:17] ,16.11, mean_rew ,-11.4,01:05:36.73,playing t=8.02, lr=[0.01], batch=136450
