Game ,17920000, mean_rew of 4969 finished g. ,-2.3256, corr_moves[max:10] ,9.968, mean_rew ,-2.62,   1:41:17.177848,playing t=20.17, lr=[7.758189838300197e-05]
Game ,18080000, mean_rew of 4964 finished g. ,-2.3741, corr_moves[max:10] ,9.964, mean_rew ,-2.72,   1:42:10.772306,playing t=20.14, lr=[6.982370854470178e-05]
Game ,18240000, mean_rew of 4952 finished g. ,-2.3053, corr_moves[max:10] ,9.953, mean_rew ,-2.76,   1:43:04.289051,playing t=20.13, lr=[6.982370854470178e-05]
Game ,18400000, mean_rew of 4958 finished g. ,-2.282, corr_moves[max:10] ,9.96, mean_rew ,-2.68,   1:43:57.681150,playing t=20.03, lr=[5.6557203921208445e-05]
Game ,18560000, mean_rew of 4964 finished g. ,-2.3272, corr_moves[max:10] ,9.965, mean_rew ,-2.67,   1:44:51.344721,playing t=19.93, lr=[6.28413376902316e-05]
Game ,18720000, mean_rew of 4961 finished g. ,-2.2741, corr_moves[max:10] ,9.961, mean_rew ,-2.65,   1:45:44.602606,playing t=19.99, lr=[6.28413376902316e-05]
Game ,18880000, mean_rew of 4971 finished g. ,-2.3247, corr_moves[max:10] ,9.975, mean_rew ,-2.6,   1:46:38.022605,playing t=20.03, lr=[5.6557203921208445e-05]
Game ,19040000, mean_rew of 4957 finished g. ,-2.3349, corr_moves[max:10] ,9.957, mean_rew ,-2.74,   1:47:31.991093,playing t=20.28, lr=[5.6557203921208445e-05]
Game ,19200000, mean_rew of 4961 finished g. ,-2.3147, corr_moves[max:10] ,9.958, mean_rew ,-2.69,   1:48:25.652066,playing t=19.99, lr=[4.5811335176178844e-05]
Game ,19360000, mean_rew of 4968 finished g. ,-2.2897, corr_moves[max:10] ,9.973, mean_rew ,-2.6,   1:49:19.218151,playing t=20.06, lr=[5.0901483529087605e-05]
Game ,19520000, mean_rew of 4962 finished g. ,-2.2638, corr_moves[max:10] ,9.962, mean_rew ,-2.63,   1:50:12.773566,playing t=20.06, lr=[5.0901483529087605e-05]
Game ,19680000, mean_rew of 4958 finished g. ,-2.3483, corr_moves[max:10] ,9.958, mean_rew ,-2.75,   1:51:06.253771,playing t=20.08, lr=[4.5811335176178844e-05]
Game ,19840000, mean_rew of 4960 finished g. ,-2.3109, corr_moves[max:10] ,9.964, mean_rew ,-2.69,   1:52:00.184633,playing t=20.17, lr=[4.5811335176178844e-05]
Game ,20000000, mean_rew of 4966 finished g. ,-2.3182, corr_moves[max:10] ,9.965, mean_rew ,-2.64,   1:52:53.601277,playing t=19.96, lr=[3.7107181492704867e-05]
Game ,20160000, mean_rew of 4960 finished g. ,-2.3494, corr_moves[max:10] ,9.962, mean_rew ,-2.73,   1:53:47.665724,playing t=20.24, lr=[4.123020165856096e-05]
Game ,20320000, mean_rew of 4971 finished g. ,-2.2979, corr_moves[max:10] ,9.971, mean_rew ,-2.57,   1:54:40.935688,playing t=20.02, lr=[4.123020165856096e-05]
Game ,20480000, mean_rew of 4970 finished g. ,-2.2837, corr_moves[max:10] ,9.971, mean_rew ,-2.57,   1:55:34.581287,playing t=20.1, lr=[3.7107181492704867e-05]
Game ,20640000, mean_rew of 4963 finished g. ,-2.3284, corr_moves[max:10] ,9.961, mean_rew ,-2.68,   1:56:28.158544,playing t=20.1, lr=[3.7107181492704867e-05]
